代码,名称,最新价,涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日小单净流入-净占比,筛选维度,入选理由
300493,润欣科技,19.13,1.8095,28757000.000000007,6.526230116421665,-5.785235090753884,A:机构锁仓,"中盘锁仓(市值96.9亿): 主力6.526230116421665%, 小单-5.785235090753884%"
002218,拓日新能,4.45,2.2989,33179500.000000015,6.52504055281386,-9.35228608103077,"A:机构锁仓,B:低位起爆","中盘锁仓(市值62.0亿): 主力6.52504055281386%, 小单-9.35228608103077% | 涨幅2.2989%, 主力流入3318万, 昨日流出-5060万"
002104,恒宝股份,22.42,8.3092,265490999.99999985,6.5170299084237975,-3.1913958621198764,A:机构锁仓,"中盘锁仓(市值134.5亿): 主力6.5170299084237975%, 小单-3.1913958621198764%"
002463,沪电股份,76.74,6.91,498887099.99999994,6.483981344565502,-3.173469112503491,A:机构锁仓,"大盘锁仓(市值1475.6亿): 主力6.483981344565502%, 小单-3.173469112503491%"
002657,中科金财,28.36,1.6852,53852100.00000003,6.46753826827373,-8.302974469394456,A:机构锁仓,"中盘锁仓(市值95.3亿): 主力6.46753826827373%, 小单-8.302974469394456%"
300678,中科信息,30.35,1.3356,11894700.000000002,6.440665565439398,-7.646310596252059,A:机构锁仓,"中盘锁仓(市值88.4亿): 主力6.440665565439398%, 小单-7.646310596252059%"
601061,中信金属,14.64,0.1368,35500400.0,6.440169135439894,-5.078261051291888,"A:机构锁仓,B:低位起爆","涨幅0.1368%, 主力流入3550万, 昨日流出-668万 | 中盘锁仓(市值73.4亿): 主力6.440169135439894%, 小单-5.078261051291888%"
002164,宁波东力,16.72,4.4347,46586600.000000015,6.436061551309311,-3.943263033720238,A:机构锁仓,"中盘锁仓(市值80.2亿): 主力6.436061551309311%, 小单-3.943263033720238%"
300548,长芯博创,142.71,0.1685,207947200.00000015,6.419655656215624,-7.206683004683398,"A:机构锁仓,B:低位起爆","中盘锁仓(市值384.6亿): 主力6.419655656215624%, 小单-7.206683004683398% | 涨幅0.1685%, 主力流入20795万, 昨日流出-27837万"
300772,运达股份,19.8,3.5024,30019599.99999998,6.4142414912649475,-4.0023306271112675,A:机构锁仓,"中盘锁仓(市值138.2亿): 主力6.4142414912649475%, 小单-4.0023306271112675%"
605318,法狮龙,69.72,0.6642,14245000.000000002,6.391691248279622,-3.480768329837077,A:机构锁仓,"中盘锁仓(市值87.7亿): 主力6.391691248279622%, 小单-3.480768329837077%"
600189,泉阳泉,7.0,-1.2694,6467199.999999999,6.355670503337321,-10.174458300508922,A:机构锁仓,"中盘锁仓(市值50.1亿): 主力6.355670503337321%, 小单-10.174458300508922%"
301307,美利信,36.44,-1.1126,26478700.000000022,6.257923143003552,-5.746369530362772,B:低位起爆,"涨幅-1.1126%, 主力流入2648万, 昨日流出-5124万"
300579,数字认证,29.79,1.2576,9812000.0,6.257038371051864,-8.643857461860058,A:机构锁仓,"中盘锁仓(市值78.1亿): 主力6.257038371051864%, 小单-8.643857461860058%"
688117,圣诺生物,39.39,-3.6684,8888100.0,6.217430470945333,-4.887567275401382,A:机构锁仓,"中盘锁仓(市值62.0亿): 主力6.217430470945333%, 小单-4.887567275401382%"
600301,华锡有色,37.94,-0.8105,21616699.999999993,6.074149464388131,-0.8861407037565611,B:低位起爆,"涨幅-0.8105%, 主力流入2162万, 昨日流出-2000万"
688563,,57.63,1.1053,27078000.000000007,6.05967463655911,-5.659858745220141,A:机构锁仓,"中盘锁仓(市值67.4亿): 主力6.05967463655911%, 小单-5.659858745220141%"
002082,万邦德,13.62,-0.5839,14588699.999999994,6.022375883779334,-4.829352084254887,A:机构锁仓,"中盘锁仓(市值75.4亿): 主力6.022375883779334%, 小单-4.829352084254887%"
300607,拓斯达,31.89,1.2381,60370899.999999985,5.998328888696177,-6.395840176715664,A:机构锁仓,"中盘锁仓(市值105.9亿): 主力5.998328888696177%, 小单-6.395840176715664%"
000949,新乡化纤,5.56,-0.7143,20157399.999999993,5.944070470642346,-4.117772850620457,A:机构锁仓,"中盘锁仓(市值94.5亿): 主力5.944070470642346%, 小单-4.117772850620457%"
000881,中广核技,9.12,1.4461,17674899.999999993,5.78477515412348,-5.716699338585196,"A:机构锁仓,B:低位起爆","涨幅1.4461%, 主力流入1767万, 昨日流出-2288万 | 中盘锁仓(市值76.8亿): 主力5.78477515412348%, 小单-5.716699338585196%"
688766,普冉股份,128.11,-3.1597,57157399.99999998,5.761344579814804,-3.4329841776181342,"A:机构锁仓,B:低位起爆","涨幅-3.1597%, 主力流入5716万, 昨日流出-7134万 | 中盘锁仓(市值189.7亿): 主力5.761344579814804%, 小单-3.4329841776181342%"
300711,广哈通信,23.1,-0.5168,7133800.0,5.7533543645541565,-5.989979188709614,"A:机构锁仓,B:低位起爆","涨幅-0.5168%, 主力流入713万, 昨日流出-1473万 | 中盘锁仓(市值57.4亿): 主力5.7533543645541565%, 小单-5.989979188709614%"
000677,恒天海龙,4.54,0.0,8829700.000000002,5.745971010142316,-9.787679873387036,B:低位起爆,"涨幅0.0%, 主力流入883万, 昨日流出-2586万"
300661,圣邦股份,69.89,0.8805,82241999.99999999,5.7356353004307445,-5.875242736344298,"A:机构锁仓,B:低位起爆","中盘锁仓(市值414.3亿): 主力5.7356353004307445%, 小单-5.875242736344298% | 涨幅0.8805%, 主力流入8224万, 昨日流出-4682万"
